#TableSlot,label,defaultDuty,grades
police,Law Enforcement,true,"{""1"":{""payment"":75,""name"":""Officer""},""2"":{""payment"":100,""name"":""Sergeant""},""3"":{""payment"":125,""name"":""Lieutenant""},""4"":{""isboss"":true,""payment"":150,""name"":""Chief""},""0"":{""payment"":50,""name"":""Recruit""}}"
trucker,Trucker,true,"{""0"":{""payment"":50,""name"":""Driver""}}"
vineyard,Vineyard,true,"{""0"":{""payment"":50,""name"":""Picker""}}"
realestate,Real Estate,true,"{""1"":{""payment"":75,""name"":""House Sales""},""2"":{""payment"":100,""name"":""Business Sales""},""3"":{""payment"":125,""name"":""Broker""},""4"":{""isboss"":true,""payment"":150,""name"":""Manager""},""0"":{""payment"":50,""name"":""Recruit""}}"
unemployed,Civilian,true,"{""0"":{""payment"":10,""name"":""Freelancer""}}"
taxi,Taxi,true,"{""1"":{""payment"":75,""name"":""Driver""},""2"":{""payment"":100,""name"":""Event Driver""},""3"":{""payment"":125,""name"":""Sales""},""4"":{""isboss"":true,""payment"":150,""name"":""Manager""},""0"":{""payment"":50,""name"":""Recruit""}}"
hotdog,Hotdog,true,"{""0"":{""payment"":50,""name"":""Sales""}}"
garbage,Garbage,true,"{""0"":{""payment"":50,""name"":""Collector""}}"
cardealer,Vehicle Dealer,true,"{""1"":{""payment"":75,""name"":""Showroom Sales""},""2"":{""payment"":100,""name"":""Business Sales""},""3"":{""payment"":125,""name"":""Finance""},""4"":{""isboss"":true,""payment"":150,""name"":""Manager""},""0"":{""payment"":50,""name"":""Recruit""}}"
lawyer,Law Firm,true,"{""0"":{""payment"":50,""name"":""Associate""}}"
tow,Towing,true,"{""0"":{""payment"":50,""name"":""Driver""}}"
judge,Honorary,true,"{""0"":{""payment"":100,""name"":""Judge""}}"
reporter,Reporter,true,"{""0"":{""payment"":50,""name"":""Journalist""}}"
mechanic,Mechanic,true,"{""1"":{""payment"":75,""name"":""Novice""},""2"":{""payment"":100,""name"":""Experienced""},""3"":{""payment"":125,""name"":""Advanced""},""4"":{""isboss"":true,""payment"":150,""name"":""Manager""},""0"":{""payment"":50,""name"":""Recruit""}}"
ambulance,EMS,true,"{""1"":{""payment"":75,""name"":""Paramedic""},""2"":{""payment"":100,""name"":""Doctor""},""3"":{""payment"":125,""name"":""Surgeon""},""4"":{""isboss"":true,""payment"":150,""name"":""Chief""},""0"":{""payment"":50,""name"":""Recruit""}}"
